id,first_name,last_name,specialization,email,gender,phone,work shift,years_experience 
#dcb,Josh,Teacy,Oncology,jteacy3d@over-blog.com,Male,782-833-6392,Evening,25
#bfc,Merwin,Lohmeyer,Emergency,mlohmeyer3e@wsj.com,Genderfluid,168-308-5386,Night,28
#a26,Lemmy,Blowfield,Surgical,lblowfield3f@geocities.jp,Male,971-620-4310,Night,20
#f30,Temp,Hane,General,thane3g@cdbaby.com,Male,605-238-5246,Evening,14
#8c0,Skyler,Strete,Emergency,sstrete3h@omniture.com,Male,720-706-6322,Evening,29
#35f,Audre,Sopp,General,asopp3i@infoseek.co.jp,Female,953-897-0644,Evening,11
#a41,Drusilla,Radborn,General,dradborn3j@nyu.edu,Female,548-188-2013,Night,29
#3c2,Krystal,Coonihan,Surgical,kcoonihan3k@chronoengine.com,Female,931-296-6356,Evening,5
#a7d,Lydon,Disman,Emergency,ldisman3l@soup.io,Male,192-820-2601,Day,15
#e00,Fae,Templeman,ICU,ftempleman3m@jugem.jp,Female,538-146-4503,Evening,5
#abd,Domenico,Jouen,General,djouen3n@google.com,Male,614-405-3716,Evening,21
#af8,Nevin,Burditt,Emergency,nburditt3o@toplist.cz,Male,200-764-8608,Evening,3
#45d,Meade,Coultas,Pediatric,mcoultas3p@privacy.gov.au,Male,690-211-6783,Night,7
#5d2,Quintina,Burnell,Surgical,qburnell3q@nyu.edu,Female,600-771-3572,Day,1
#c9f,Tedman,Shreve,ICU,tshreve3r@123-reg.co.uk,Male,329-117-0991,Night,1
#283,Dulcine,MacAirt,Oncology,dmacairt3s@dedecms.com,Female,562-863-0463,Evening,21
#853,Holly-anne,Fann,Emergency,hfann3t@arstechnica.com,Female,646-250-3197,Night,13
#2f7,Reinold,Barrick,ICU,rbarrick3u@odnoklassniki.ru,Male,468-307-6022,Night,5
#90b,Siusan,Ogbourne,ICU,sogbourne3v@etsy.com,Female,514-902-2269,Day,20
#0a2,Lambert,Halpeine,ICU,lhalpeine3w@unesco.org,Male,710-145-9366,Night,8
#73a,Corrine,Bowring,Pediatric,cbowring3x@indiegogo.com,Female,801-396-9096,Day,25
#17f,Angelia,Buddle,Pediatric,abuddle3y@wired.com,Female,981-525-8064,Night,12
#374,Esteban,Lehr,General,elehr3z@wiley.com,Male,124-745-5771,Day,13
#431,Killy,Giacometti,Emergency,kgiacometti40@dion.ne.jp,Male,387-644-4475,Day,6
#cc7,Rene,Fain,Surgical,rfain41@techcrunch.com,Female,661-673-4405,Day,24
#8d2,Ardis,McCaffrey,Surgical,amccaffrey42@bbc.co.uk,Female,889-390-1205,Evening,20
#0be,Hannie,Curless,Pediatric,hcurless43@unicef.org,Female,856-126-9937,Night,15
#841,Parrnell,O'Dreain,Oncology,podreain44@dion.ne.jp,Male,953-865-5675,Night,2
#5d9,Hedy,Izatson,ICU,hizatson45@intel.com,Female,117-374-9500,Day,15
